ComplaintID,Timestamp,Category,ComplaintText,Sentiment
1,2024-10-26 14:30:15,Delivery,"My package is over a week late and the tracking hasn't updated in days. This is unacceptable.",Negative
2,2024-10-26 18:45:10,Product,"The build quality of the new X-1 speaker is terrible. It feels cheap and the sound crackles at high volume.",Negative
3,2024-10-27 09:12:05,Service,"I was on hold with customer service for 50 minutes just to be disconnected. I am furious.",Negative
4,2024-10-27 11:20:00,Billing,"Why was I charged twice for my subscription this month? I need this fixed immediately.",Negative
5,2024-10-28 15:05:30,Product,"Just received my order and I'm thrilled! The product works even better than advertised. Five stars!",Positive
6,2024-10-29 13:00:45,Service,"Spoke with Maria in support and she was incredibly helpful and patient. She resolved my issue in minutes.",Positive
7,2024-10-30 10:55:00,Delivery,"The delivery driver left my fragile package on the porch in the pouring rain without ringing the bell.",Negative
8,2024-11-01 19:21:50,Product,"The shirt I ordered is the wrong size and the color doesn't match the website picture.",Negative
9,2024-11-02 11:10:25,Billing,"I am trying to update my payment information but the website keeps giving me an error.",Negative
10,2024-11-03 16:40:00,General Inquiry,"Just wanted to confirm the warranty period for the coffee machine I purchased.",Neutral
11,2024-11-04 20:05:18,Product,"The battery on this laptop barely lasts two hours, even after a full charge. This is not what was promised.",Negative
12,2024-11-05 12:33:45,Service,"Your chatbot is useless. It doesn't understand simple questions and I can't find a way to talk to a human.",Negative
13,2024-11-06 08:50:00,Delivery,"My order arrived a day early! Excellent service.",Positive
14,2024-11-07 14:00:30,Billing,"I received a bill for a service I cancelled last month. Please correct this.",Negative
15,2024-11-08 17:25:00,Product,"The software for the smart camera is buggy and crashes frequently.",Negative
16,2024-11-09 09:30:15,Service,"The agent I spoke to was rude and dismissive. I'm very disappointed with the support I received.",Negative
17,2024-11-10 13:15:00,Delivery,"The box was completely crushed when it arrived. Luckily the item inside seems okay, but the packaging was poor.",Negative
18,2024-11-11 18:00:55,Product,"This is the best vacuum cleaner I have ever owned. Amazing suction power.",Positive
19,2024-11-12 21:10:00,Billing,"Could you please clarify a charge on my recent invoice? The reference number is 84321.",Neutral
20,2024-11-13 10:45:30,Service,"No one has responded to the support ticket I raised three days ago.",Negative
21,2024-11-14 15:20:00,Product,"The user manual is very confusing and poorly translated.",Negative
22,2024-11-15 11:05:40,Delivery,"I still have not received my order #98765. It was supposed to be here last Friday.",Negative
23,2024-11-16 16:50:00,Product,"My new headphones stopped working after just one use.",Negative
24,2024-11-17 19:30:10,Service,"The returns process is far too complicated. I shouldn't have to print three different forms.",Negative
25,2024-11-18 10:00:00,Billing,"My refund was processed much faster than I expected. Thank you!",Positive
26,2024-11-19 14:45:00,Product,"The fabric on the chair started pilling after only a few weeks.",Negative
27,2024-11-20 12:00:15,Delivery,"Tracking says my parcel was delivered, but I never received it. Where is it?",Negative
28,2024-11-21 09:10:00,Service,"Your website is not mobile-friendly. It's very difficult to navigate on my phone.",Negative
29,2024-11-22 17:55:00,Product,"The product is fine, it does what it is supposed to do.",Neutral
30,2024-11-23 20:25:30,Billing,"There seems to be a mistake in my loyalty points calculation.",Negative
31,2024-11-24 11:35:00,Delivery,"The item was delivered to my neighbor's house by mistake.",Negative
32,2024-11-25 13:20:00,Product,"The assembly instructions were missing from the box.",Negative
33,2024-11-26 16:00:45,Service,"I tried calling three times and the line was always busy.",Negative
34,2024-11-27 18:10:00,Product,"The 'one-size-fits-all' hat is way too small.",Negative
35,2024-11-28 10:50:00,Billing,"Requesting a copy of my invoice from last month.",Neutral
36,2024-11-29 15:00:00,Delivery,"Super fast shipping. I'm very impressed.",Positive
37,2024-11-30 09:40:20,Product,"The device overheats very quickly during normal use.",Negative
38,2024-12-01 12:25:00,Service,"The support staff needs better training. They couldn't answer my basic questions.",Negative
39,2024-12-02 14:15:55,Product,"The app that controls this device logs me out constantly. It's very frustrating.",Negative
40,2024-12-03 17:30:00,Billing,"The promotional discount was not applied to my order total.",Negative
41,2024-12-04 11:00:00,Product,"This cream caused a bad skin reaction. The ingredients should be listed more clearly.",Negative
42,2024-12-05 10:10:10,Delivery,"Why is the shipping cost so high for such a small item?",Negative
43,2024-12-06 13:45:00,Service,"The live chat feature on your website is never available.",Negative
44,2024-12-07 16:20:30,Product,"I love the design and color, but the performance is lacking.",Negative
45,2024-12-08 19:00:00,Billing,"I was promised a refund within 5 business days, it has been 10.",Negative
46,2024-12-09 09:20:00,Product,"The product arrived with a piece broken off.",Negative
47,2024-12-10 11:40:00,Service,"Your company policies are very anti-consumer.",Negative
48,2024-12-11 15:05:15,Delivery,"The delivery person was very courteous and professional.",Positive
49,2024-12-12 18:30:00,General Inquiry,"What are the operating hours for your main store?",Neutral
50,2024-12-13 10:00:00,Product,"It works, but it's much louder than I thought it would be.",Negative
51,2024-12-14 14:50:00,Billing,"The automatic renewal feature is deceptive. It should be opt-in, not opt-out.",Negative
52,2024-12-15 17:10:25,Service,"I sent an email inquiry last week and have received no response at all.",Negative
53,2024-12-16 09:55:00,Product,"The picture on the box is misleading. The actual product is much smaller.",Negative
54,2024-12-17 12:00:00,Delivery,"The item was left in a secure location as I requested. Thank you.",Positive
55,2024-12-18 16:35:00,Product,"After the latest firmware update, my device is completely bricked.",Negative
56,2024-12-19 19:00:45,Service,"The hold music is incredibly annoying.",Negative
57,2024-12-20 11:20:00,Billing,"I am still waiting for the credit to be applied to my account.",Negative
58,2024-12-21 13:40:10,Product,"The product itself is great, but the packaging it came in was damaged.",Negative
59,2024-12-22 15:00:00,General Inquiry,"Can this product be used outdoors?",Neutral
60,2024-12-23 10:30:00,Delivery,"My food order arrived cold and soggy.",Negative
61,2024-12-24 09:00:00,Product,"The 'long-lasting' battery died within a month.",Negative
62,2024-12-26 18:15:00,Service,"I'm tired of the automated responses. I need to speak with a real person about my issue.",Negative
63,2024-12-27 14:05:00,Billing,"The price at checkout was higher than the price listed on the product page.",Negative
64,2024-12-28 11:50:00,Product,"The color faded significantly after the first wash.",Negative
65,2024-12-29 16:25:30,Delivery,"The courier claimed nobody was home, but I was here all day waiting.",Negative
66,2024-12-30 19:00:00,Product,"Fantastic product, it has made my daily routine so much easier.",Positive
67,2025-01-02 10:10:10,Service,"Your return policy is a nightmare. It is not customer-friendly at all.",Negative
68,2025-01-03 12:40:00,Billing,"Why did my monthly fee increase without any prior notification?",Negative
69,2025-01-04 15:00:00,Product,"The item I received is clearly a cheap knockoff, not the genuine brand.",Negative
70,2025-01-05 17:30:00,General Inquiry,"Is the blue model coming back in stock anytime soon?",Neutral
71,2025-01-06 09:45:00,Delivery,"The delivery window was 9am-5pm, which is way too broad. I had to take a whole day off.",Negative
72,2025-01-07 11:30:50,Product,"It stopped working right after the warranty expired. How convenient.",Negative
73,2025-01-08 14:20:00,Service,"The instructions on the website for troubleshooting are incorrect.",Negative
74,2025-01-09 18:00:00,Product,"This is not what I ordered. I received a completely different product.",Negative
75,2025-01-10 10:05:00,Billing,"My payment was declined for no reason. My card works fine everywhere else.",Negative
76,2025-01-11 13:00:00,Product,"Great value for the price. Works as expected.",Positive
77,2025-01-12 16:15:00,Delivery,"The driver refused to bring the item up to my apartment and left it in the lobby.",Negative
78,2025-01-13 19:40:00,Service,"The online chat agent ended the conversation before my problem was solved.",Negative
79,2025-01-14 11:10:00,Product,"The material feels very cheap and flimsy, I doubt it will last long.",Negative
80,2025-01-15 09:25:00,Billing,"You guys are making it impossible to cancel my subscription.",Negative
81,2025-01-16 12:50:00,Product,"The advertised features do not work as described. This is false advertising.",Negative
82,2025-01-17 15:00:00,Delivery,"My package has been stuck in transit for 10 days.",Negative
83,2025-01-18 18:20:00,Service,"I am very happy with the quick and efficient service I received.",Positive
84,2025-01-19 10:40:00,Product,"The item looks good, but has a very strong chemical smell.",Negative
85,2025-01-20 14:00:00,Billing,"The refund amount I received was incorrect. It was less than what I was told.",Negative
86,2025-01-21 17:30:00,Product,"The product is okay, but not worth the high price tag.",Negative
87,2025-01-22 09:00:00,General Inquiry,"What are the dimensions of this item?",Neutral
88,2025-01-23 11:45:00,Service,"It took 4 emails to get a simple question answered.",Negative
89,2025-01-24 16:00:00,Delivery,"The item was well-packaged and arrived in perfect condition.",Positive
90,2025-01-25 19:10:00,Product,"The software is not intuitive at all. Very steep learning curve.",Negative
91,2025-01-26 12:30:00,Billing,"I was charged for a free trial. This is a scam.",Negative
92,2025-01-27 15:15:00,Product,"The product broke during the first use. Extremely poor quality.",Negative
93,2025-01-28 10:00:00,Service,"The representative hung up on me mid-sentence.",Negative
94,2025-01-29 13:20:00,Delivery,"The delivery service you use is notoriously bad in my area. Please offer other options.",Negative
95,2025-01-30 17:40:00,Product,"A key feature stopped working after a software update.",Negative
96,2025-01-31 09:50:00,Billing,"The invoice is confusing and difficult to understand.",Negative
97,2025-02-01 11:00:00,Product,"This was a gift and the recipient loved it!",Positive
98,2025-02-02 14:35:00,Service,"There is no phone number listed anywhere for customer support. How am I supposed to get help?",Negative
99,2025-02-03 18:00:00,Delivery,"My order was canceled without any explanation.",Negative
100,2025-02-04 10:20:00,Product,"The product does its job, but it's nothing special.",Neutral
101,2025-02-05 13:10:15,Product,"The 'stainless steel' started rusting after a month.",Negative
102,2025-02-05 16:55:10,Service,"Your online FAQ section did not answer my question.",Negative
103,2025-02-06 09:00:05,Delivery,"The delivery person was rude and just threw the package on the ground.",Negative
104,2025-02-06 11:30:00,Billing,"I'm being billed for two accounts but I only have one.",Negative
105,2025-02-07 15:15:30,Product,"This is an excellent product, great craftsmanship and it looks beautiful.",Positive
106,2025-02-08 13:20:45,Service,"The support team was quick to respond and solved my issue. Great job!",Positive
107,2025-02-09 10:45:00,Delivery,"My package was ripped open when it arrived.",Negative
108,2025-02-10 19:11:50,Product,"The XL size fits like a Medium. Your sizing chart is completely wrong.",Negative
109,2025-02-11 11:00:25,Billing,"My coupon code didn't work at checkout, even though it was valid.",Negative
110,2025-02-12 16:30:00,General Inquiry,"Is this product compatible with Windows 11?",Neutral
111,2025-02-13 20:15:18,Product,"The phone case doesn't fit my phone properly, it's too loose.",Negative
112,2025-02-14 12:43:45,Service,"Your website crashed while I was trying to place an order.",Negative
113,2025-02-15 08:30:00,Delivery,"Fast and efficient delivery. Arrived sooner than expected.",Positive
114,2025-02-16 14:10:30,Billing,"I cancelled my service but I'm still getting billed.",Negative
115,2025-02-17 17:35:00,Product,"The instructions were just a series of blurry pictures. Totally unhelpful.",Negative
116,2025-02-18 09:40:15,Service,"The agent seemed like they were reading from a script and didn't listen to my actual problem.",Negative
117,2025-02-19 13:25:00,Delivery,"The tracking link you sent me doesn't work.",Negative
118,2025-02-20 18:10:55,Product,"Exceeded my expectations. The quality for this price is unbeatable.",Positive
119,2025-02-21 21:20:00,Billing,"Asking for my bank details to process a refund feels insecure.",Neutral
120,2025-02-22 10:55:30,Service,"Four days and still no reply to my support email. Terrible service.",Negative
121,2025-02-23 15:30:00,Product,"The product is advertised as 'silent' but it makes a constant humming noise.",Negative
122,2025-02-24 11:15:40,Delivery,"I paid for express shipping and it took over a week to arrive.",Negative
123,2025-02-25 16:40:00,Product,"The handle broke off my mug the first time I used it.",Negative
124,2025-02-26 19:20:10,Service,"The agent was very friendly, but ultimately couldn't solve my problem.",Negative
125,2025-02-27 10:10:00,Billing,"The refund process was smooth and easy. Appreciate it.",Positive
126,2025-02-28 14:55:00,Product,"The wood finish scratches way too easily.",Negative
127,2025-03-01 12:10:15,Delivery,"My package was delivered to the wrong address.",Negative
128,2025-03-02 09:20:00,Service,"Your app keeps crashing every time I open it.",Negative
129,2025-03-03 17:45:00,Product,"The product is functional, but the design is very ugly.",Neutral
130,2025-03-04 20:15:30,Billing,"I found a hidden fee in the terms and conditions. Very sneaky.",Negative
131,2025-03-05 11:45:00,Delivery,"The item was just left on my doorstep in plain sight for anyone to steal.",Negative
132,2025-03-06 13:30:00,Product,"The box was sealed, but a crucial part was missing inside.",Negative
133,2025-03-07 16:10:45,Service,"I have to repeat my issue every time I get transferred to a new agent.",Negative
134,2025-03-08 18:20:00,Product,"The 'waterproof' phone case leaked and damaged my phone.",Negative
135,2025-03-09 10:40:00,Billing,"Just a query about the payment options available.",Neutral
136,2025-03-10 15:10:00,Delivery,"Excellent delivery service, the driver called me before arriving.",Positive
137,2025-03-11 09:50:20,Product,"The device gets extremely hot to the touch after a few minutes.",Negative
138,2025-03-12 12:35:00,Service,"Your customer support is clearly outsourced and they have no idea what they're doing.",Negative
139,2025-03-13 14:25:55,Product,"The app requires way too many permissions. Why does a calculator app need my location?",Negative
140,2025-03-14 17:40:00,Billing,"The discount code I had was not applied to the final bill.",Negative
141,2025-03-15 11:10:00,Product,"The materials used feel premium and durable. Very happy with this purchase.",Positive
142,2025-03-16 10:20:10,Delivery,"Why do you use a courier that gets such terrible reviews? They lost my package.",Negative
143,2025-03-17 13:55:00,Service,"The website is so slow and pages take forever to load.",Negative
144,2025-03-18 16:30:30,Product,"The actual product looks nothing like the promotional photos.",Negative
145,2025-03-19 19:10:00,Billing,"It's been two weeks and my refund is still 'processing'.",Negative
146,2025-03-20 09:30:00,Product,"Item arrived with a huge scratch across the front.",Negative
147,2025-03-21 11:50:00,Service,"Your company doesn't seem to care about its customers once the sale is made.",Negative
148,2025-03-22 15:15:15,Delivery,"The delivery driver was exceptionally helpful and friendly.",Positive
149,2025-03-23 18:40:00,General Inquiry,"What is your return address?",Neutral
150,2025-03-24 10:10:00,Product,"It's an okay product for the price, I guess.",Neutral
151,2025-03-25 14:40:00,Billing,"You charged my card after I explicitly cancelled the service. This is theft.",Negative
152,2025-03-26 17:20:25,Service,"Your email support team just sends copy-pasted responses that don't help.",Negative
153,2025-03-27 09:45:00,Product,"The plastic components are very brittle and one has already snapped.",Negative
154,2025-03-28 12:10:00,Delivery,"The package was left with a neighbor without my permission.",Negative
155,2025-03-29 16:45:00,Product,"The battery life is amazing. It lasts for days!",Positive
156,2025-03-30 19:10:45,Service,"The agent I spoke with, John, was fantastic. Give him a raise!",Positive
157,2025-03-31 11:30:00,Billing,"I was told the total was $50 but my card was charged $65.",Negative
158,2025-04-01 13:50:10,Product,"The product I received was clearly used and repackaged. It had fingerprints all over it.",Negative
159,2025-04-02 15:10:00,General Inquiry,"Is this item available for pickup at the Mumbai store?",Neutral
160,2025-04-03 10:40:00,Delivery,"My order of frozen goods was left outside and everything melted.",Negative
161,2025-04-04 09:10:00,Product,"The 'easy-to-assemble' furniture took me 4 hours and the holes didn't line up.",Negative
162,2025-04-05 18:25:00,Service,"I'm stuck in a loop with your automated phone system. It's infuriating.",Negative
163,2025-04-06 14:15:00,Billing,"The price on the shelf was different from the price at the register.",Negative
164,2025-04-07 11:40:00,Product,"The color is much duller in person than it appeared online.",Negative
165,2025-04-08 16:35:30,Delivery,"I paid for gift wrapping and it arrived unwrapped in a plain brown box.",Negative
166,2025-04-09 19:10:00,Product,"This is a well-made, high-quality item. Worth every penny.",Positive
167,2025-04-10 10:20:10,Service,"Your website login system is broken. It won't accept my password.",Negative
168,2025-04-11 12:50:00,Billing,"Why was I enrolled in auto-renewal without my consent?",Negative
169,2025-04-12 15:10:00,Product,"The item is not compatible with my other devices as advertised.",Negative
170,2025-04-13 17:40:00,General Inquiry,"Do you offer international shipping?",Neutral
171,2025-04-14 09:55:00,Delivery,"The delivery person damaged my property while making the delivery.",Negative
172,2025-04-15 11:40:50,Product,"The product has a major design flaw that makes it difficult to use.",Negative
173,2025-04-16 14:30:00,Service,"I'm very dissatisfied with the resolution offered by your support team.",Negative
174,2025-04-17 18:10:00,Product,"This is the third time I've had to replace this product. The quality is consistently poor.",Negative
175,2025-04-18 10:15:00,Billing,"My account was charged a late fee even though I paid on time.",Negative
176,2025-04-19 13:10:00,Product,"Works perfectly. Does exactly what it says on the tin.",Positive
177,2025-04-20 16:25:00,Delivery,"My package was supposed to arrive today but now the delivery date has been pushed back a week.",Negative
178,2025-04-21 19:50:00,Service,"The customer service agent was talking over me and not listening.",Negative
179,2025-04-22 11:20:00,Product,"The material is very thin and tore the first time I wore it.",Negative
180,2025-04-23 09:35:00,Billing,"I can't find where to cancel my subscription on your confusing website.",Negative
181,2025-04-24 12:40:00,Product,"The promised features are only available if you buy an expensive add-on.",Negative
182,2025-04-25 15:10:00,Delivery,"The package arrived, but it was the wrong item.",Negative
183,2025-04-26 18:30:00,Service,"Your support team provided a quick and effective solution. Thank you!",Positive
184,2025-04-27 10:50:00,Product,"The product is average. It's not bad, but it's not great either.",Neutral
185,2025-04-28 14:10:00,Billing,"The refund I received was only a partial refund, but I returned the entire order.",Negative
186,2025-04-29 17:40:00,Product,"The product stopped charging after two weeks.",Negative
187,2025-04-30 09:10:00,General Inquiry,"What is the warranty coverage on this?",Neutral
188,2025-05-01 11:55:00,Service,"The agent promised a callback but I never received one.",Negative
189,2025-05-02 16:10:00,Delivery,"The packaging was superb, really protected the item well.",Positive
190,2025-05-03 19:20:00,Product,"The user interface is clunky and outdated.",Negative
191,2025-05-04 12:40:00,Billing,"This company's billing practices are predatory and dishonest.",Negative
192,2025-05-05 15:25:00,Product,"The adhesive on the back is not strong enough and it keeps falling off.",Negative
193,2025-05-06 10:10:00,Service,"The hold time was surprisingly short and the agent was very efficient.",Positive
194,2025-05-07 13:30:00,Delivery,"I received an empty box. The item was stolen.",Negative
195,2025-05-08 17:50:00,Product,"A critical component failed and now the entire unit is useless.",Negative
196,2025-05-09 09:40:00,Billing,"Your prices are much higher than your competitors for the same product.",Negative
197,2025-05-10 11:10:00,Product,"I'm very pleased with my purchase, will buy again.",Positive
198,2025-05-11 14:45:00,Service,"There's no option to speak to a supervisor when the agent is unhelpful.",Negative
199,2025-05-12 18:10:00,Delivery,"The driver called to say he was 'nearby' and then showed up two hours later.",Negative
200,2025-05-13 10:30:00,Product,"The product is okay, but the setup was a real hassle.",Neutral
201,2025-05-14 14:20:15,Delivery,"My order #12345 has been stuck in 'processing' for 5 days.",Negative
202,2025-05-14 18:35:10,Product,"The new software update removed features that I used all the time. Why?",Negative
203,2025-05-15 09:22:05,Service,"Your customer service is the worst I have ever experienced. No exaggeration.",Negative
204,2025-05-15 11:40:00,Billing,"The final price included taxes and fees that were not shown upfront.",Negative
205,2025-05-16 15:55:30,Product,"The quality of this leather bag is amazing! It smells and feels so premium.",Positive
206,2025-05-17 13:10:45,Service,"Kudos to the support team for being so responsive on social media.",Positive
207,2025-05-18 10:45:00,Delivery,"The delivery estimate was accurate and the driver was professional.",Positive
208,2025-05-19 19:31:50,Product,"The parts don't fit together properly. It's impossible to assemble.",Negative
209,2025-05-20 11:20:25,Billing,"My gift card balance was wiped out for no reason.",Negative
210,2025-05-21 16:50:00,General Inquiry,"Just checking the status of my refund request.",Neutral
211,2025-05-22 20:15:18,Product,"This 'smart' device is actually very dumb. The features are poorly implemented.",Negative
212,2025-05-23 12:53:45,Service,"Your business hours are too short. I can't call for support after work.",Negative
213,2025-05-24 08:40:00,Delivery,"Received my package and it was in perfect condition.",Positive
214,2025-05-25 14:20:30,Billing,"I was charged a cancellation fee even though I cancelled during the free trial.",Negative
215,2025-05-26 17:45:00,Product,"The product is full of bugs. It feels like it wasn't tested at all before release.",Negative
216,2025-05-27 09:50:15,Service,"The agent was condescending and treated me like I was stupid.",Negative
217,2025-05-28 13:35:00,Delivery,"The delivery driver marked it as delivered but it's nowhere to be found.",Negative
218,2025-05-29 18:20:55,Product,"Amazing piece of technology. It just works seamlessly.",Positive
219,2025-05-30 21:30:00,Billing,"I'd like to dispute a charge on my account.",Neutral
220,2025-05-31 10:45:30,Service,"I've been a loyal customer for years and this is how you treat me? Appalling.",Negative
221,2025-06-01 15:40:00,Product,"The product's description is intentionally misleading.",Negative
222,2025-06-02 11:25:40,Delivery,"I received a notification that my package was delayed, with no new delivery date.",Negative
223,2025-06-03 16:50:00,Product,"The item I received is a counterfeit. This is illegal.",Negative
224,2025-06-04 19:40:10,Service,"The '24/7 support' is a lie. It's just a bot outside of business hours.",Negative
225,2025-06-05 10:20:00,Billing,"The refund process was surprisingly quick and painless.",Positive
226,2025-06-06 14:45:00,Product,"The chair is uncomfortable and gives me back pain.",Negative
227,2025-06-07 12:20:15,Delivery,"My address was correct, but the driver delivered it to a house down the street.",Negative
228,2025-06-08 09:30:00,Service,"The mobile app is poorly designed and constantly freezes.",Negative
229,2025-06-09 17:55:00,Product,"It works, but it feels like it could break at any moment.",Neutral
230,2025-06-10 20:35:30,Billing,"This company charged me for a service I never signed up for.",Negative
231,2025-06-11 11:25:00,Delivery,"The item was supposed to be a surprise gift, but it arrived in a box with the product name all over it.",Negative
232,2025-06-12 13:40:00,Product,"Missing screws and bolts. Now I have to go to the hardware store to finish assembly.",Negative
233,2025-06-13 16:20:45,Service,"Every time I call, I get transferred multiple times and have to explain my issue from the beginning.",Negative
234,2025-06-14 18:30:00,Product,"The waterproof coating started peeling off after one week.",Negative
235,2025-06-15 10:50:00,Billing,"I am inquiring about a charge from your company on my credit card statement.",Neutral
236,2025-06-16 15:20:00,Delivery,"The delivery was on time and the product was handled with care.",Positive
237,2025-06-17 09:40:20,Product,"This thing consumes batteries like crazy. It's not energy efficient at all.",Negative
238,2025-06-18 12:45:00,Service,"The support team is not empowered to do anything. They just apologize and can't fix the problem.",Negative
239,2025-06-19 14:35:55,Product,"The app connected to this product is a privacy nightmare. It asks for too much data.",Negative
240,2025-06-20 17:50:00,Billing,"The promotional offer was not honored at checkout.",Negative
241,2025-06-21 11:20:00,Product,"The build quality is solid and it feels like it will last a long time. Very satisfied.",Positive
242,2025-06-22 10:30:10,Delivery,"The shipping costs more than the item itself. Ridiculous.",Negative
243,2025-06-23 13:45:00,Service,"Your website is a mess. It's impossible to find information.",Negative
244,2025-06-24 16:40:30,Product,"The real product is a cheap, plastic version of what was shown in the pictures.",Negative
245,2025-06-25 19:20:00,Billing,"My refund has been pending for over a month now. Where is my money?",Negative
246,2025-06-26 09:40:00,Product,"The product arrived broken in the box.",Negative
247,2025-06-27 11:40:00,Service,"Your company has the worst customer service I have ever encountered.",Negative
248,2025-06-28 15:25:15,Delivery,"The driver was polite and followed my delivery instructions perfectly.",Positive
249,2025-06-29 18:50:00,General Inquiry,"What are the dimensions of the packaging?",Neutral
250,2025-06-30 10:20:00,Product,"It's not a bad product, but it's definitely overpriced for what it is.",Negative
251,2025-07-01 14:50:00,Billing,"I was charged an international transaction fee, but your company is based in my country.",Negative
252,2025-07-02 17:30:25,Service,"Your support agents need to be trained on the products they are supporting.",Negative
